Asset,Base Case,Bull Case,Bear Case,Key Levels,Action Zone,Invalidation
BTC,Базовый сценарий - продолжение снижения рынка в ближайший год с глубокой просадкой и постепенным формированием дна,"Позитивный сценарий - сильный коррекционный рост без обновления глобального бычьего цикла, с последующим возвратом давления","Негативный сценарий - ещё 2 волны паники и капитуляции, в которых биткоин может потерять до 60% от текущих уровней","Ключевые зоны интереса - ступени добора на всём снижении, без попытки угадать точное дно","Покупать ступенями вниз, сохранять кэш и не входить слишком крупно раньше времени",Поломка идеи - если рынок начнёт слишком рано переходить в устойчивый бычий цикл без глубокой финальной фазы снижения
,,,,,,
ETH,Базовый сценарий - снижение вместе со всем рынком с дальнейшим набором позиции по мере падения,Позитивный сценарий - сильный коррекционный рост и относительная сила к рынку перед новым снижением,"Негативный сценарий - глубокая просадка вместе с альтами, вплоть до потери 80% от текущих уровней","Ключевые зоны интереса - все ступени снижения, где можно набирать актив без попытки поймать точное дно","Продолжать накапливать по любым ценам, на сильных проливах добирать агрессивнее","Поломка идеи - если сеть начнёт явно терять разработчиков, роль инфраструктурной базы и интерес капитала"
,,,,,,
TON,"Базовый сценарий - давление вниз вместе с рынком, но с сохранением интереса к экосистеме Telegram","Позитивный сценарий - сильный отскок и резкий рост на возвращении хайпа, внимания и улучшении внешнего фона","Негативный сценарий - продолжение затяжного слива, потеря интереса рынка и глубокая просадка как у большинства альтов","Ключевые зоны интереса - сильные зоны падения, где актив можно добирать как спекулятивную ставку",Продолжать накапливать и усиливать позицию только на сильных просадках,"Поломка идеи - если Telegram и связанная экосистема перестанут давать рост интереса, а команда перестанет подтверждать историю действиями"
,,,,,,
SOL,"Базовый сценарий - рынок давит вниз, но Solana сохраняет активность экосистемы и остаётся одной из главных спекулятивных сетей",Позитивный сценарий - экосистема снова создаёт сильные нарративы и актив резко опережает рынок на коррекционном росте,"Негативный сценарий - затухание интереса к мемам, NFT и спекулятивным темам, с глубокой просадкой как у большинства альтов","Ключевые зоны интереса - зоны слабости, где можно добирать как одну из базовых позиций среди альтов","Держать и накапливать постепенно, без лишней агрессии до более сильных проливов","Поломка идеи - если экосистема начнёт заметно терять внимание, ликвидность и способность создавать новые тренды"
,,,,,,
BNB,"Базовый сценарий - рынок падает, но Binance и BNB продолжают удерживать роль сильной централизованной экосистемы","Позитивный сценарий - биржа сохраняет лидерство, экосистема BSC остаётся живой, а монета показывает относительную силу","Негативный сценарий - усиление давления на Binance, проблемы регулирования и тяжёлый слив актива вместе с рынком","Ключевые зоны интереса - глубокие откаты, где можно аккуратно наращивать позицию небольшими объёмами","Добирать осторожно, без агрессии, принимая риски централизации и давления на биржи",Поломка идеи - если доверие к Binance начнёт системно разрушаться и экосистема перестанет удерживать аудиторию
,,,,,,
TIA,Базовый сценарий - дальнейшее снижение в рамках общего медвежьего давления с возможностью набора ниже,Позитивный сценарий - спекулятивное восстановление и сильный отскок после глубокой просадки,Негативный сценарий - продолжение падения без заметного восстановления вплоть до почти полного обнуления идеи,"Ключевые зоны интереса - сильные ступени снижения на 30%, 50% и глубже от текущих уровней",Держать маленький объём и добирать только на очень сильных падениях,"Поломка идеи - если актив теряет ликвидность, интерес рынка и перестаёт показывать признаки жизни"
,,,,,,
APEX,"Базовый сценарий - слабый рынок продолжает давить актив вниз, а позиция остаётся чисто спекулятивной",Позитивный сценарий - резкий технический отскок и краткосрочное восстановление на возвращении интереса,Негативный сценарий - продолжение падения вплоть до полного скама или исчезновения актива из внимания рынка,"Ключевые зоны интереса - только очень глубокие уровни снижения, без раннего наращивания позиции",Сохранять маленький объём и добирать только при экстремальной слабости,"Поломка идеи - если актив теряет ликвидность, признаки жизни и возможность нормального восстановления"
,,,,,,
MNT,"Базовый сценарий - рынок снижается, но MNT сохраняет относительную силу за счёт связи с Bybit и утилити внутри экосистемы","Позитивный сценарий - Bybit усиливает позиции, выходит на новые рынки, а монета начинает расти лучше части альтов","Негативный сценарий - рынок давит актив вниз вместе с альтами, а экосистемная история перестаёт давать преимущество","Ключевые зоны интереса - сильные откаты, где можно добирать актив как более осмысленную экосистемную ставку",Держать и постепенно добирать на сильных снижениях,"Поломка идеи - если Bybit ослабнет, утилити монеты снизится или актив перестанет показывать относительную силу"
