Portfolio Snapshot,,
Total Value,439,
Total Invested,419,
PnL $,"19,5",
PnL %,"11,70%",
Change for Period,,
Change 7D,not enough data,
Change 30D,not enough data,
,,
,,
Best / Worst Positions,,
Best Position,USDT,
Worst Position,APEX,
Biggest Position,TON,
,,
Allocation Summary,,
Crypto,165,"37,6%"
Stocks,0,"0,0%"
Metals,8,"1,9%"
Cash / Stables,253,"57,6%"
,,
Main Notes,,
Market View,"Базовый сценарий - рынок ещё не закончил падение, впереди высокая вероятность новых паник и глубокой просадки",
Portfolio Logic,"Портфель собирается ступенями вниз, без попытки угадать дно, с обязательным сохранением кэша",
Current Focus,Главная задача сейчас - накапливать сильные активы и не тратить резерв раньше времени,
,,
Focus / Next Step,,
Action,Продолжать накапливать сильные активы ступенями вниз,
Cash Rule,Не тратить резерв раньше времени и всегда держать часть капитала свободной,
Main Goal,Подготовить портфель к следующей сильной фазе роста ближе к 2027 году,
